No: 1, Time: 4.9203s, Source: 192.168.1.1, Destination: 192.168.1.13, Protocol: TCP, Length: 1500, Info: 8080 → 443 [SYN, ACK] Seq=1 Ack=1 Win=64240 Len=1500
No: 19, Time: 119.3812s, Source: 192.168.1.1, Destination: 192.168.1.12, Protocol: TCP, Length: 512, Info: 8080 → 443 [SYN, ACK] Seq=1 Ack=1 Win=64240 Len=512
No: 20, Time: 119.3849s, Source: 192.168.1.1, Destination: 192.168.1.11, Protocol: TCP, Length: 512, Info: 8080 → 443 [SYN, ACK] Seq=1 Ack=1 Win=64240 Len=512
No: 21, Time: 124.8548s, Source: 192.168.1.1, Destination: 192.168.1.13, Protocol: TCP, Length: 1500, Info: 8080 → 443 [SYN, ACK] Seq=1 Ack=1 Win=64240 Len=1500
No: 23, Time: 124.8639s, Source: 192.168.1.1, Destination: 192.168.1.11, Protocol: TCP, Length: 1500, Info: 8080 → 443 [SYN, ACK] Seq=1 Ack=1 Win=64240 Len=1500
No: 22, Time: 124.8606s, Source: 192.168.1.1, Destination: 192.168.1.12, Protocol: TCP, Length: 1500, Info: 8080 → 443 [SYN, ACK] Seq=1 Ack=1 Win=64240 Len=1500
No: 24, Time: 131.2155s, Source: 192.168.1.1, Destination: 192.168.1.13, Protocol: TCP, Length: 1500, Info: 8080 → 443 [SYN, ACK] Seq=1 Ack=1 Win=64240 Len=1500
No: 25, Time: 131.2199s, Source: 192.168.1.1, Destination: 192.168.1.12, Protocol: TCP, Length: 1500, Info: 8080 → 443 [SYN, ACK] Seq=1 Ack=1 Win=64240 Len=1500
No: 26, Time: 131.2221s, Source: 192.168.1.1, Destination: 192.168.1.11, Protocol: TCP, Length: 1500, Info: 8080 → 443 [SYN, ACK] Seq=1 Ack=1 Win=64240 Len=1500
No: 27, Time: 137.5278s, Source: 192.168.1.1, Destination: 192.168.1.13, Protocol: TCP, Length: 1500, Info: 8080 → 443 [SYN, ACK] Seq=1 Ack=1 Win=64240 Len=1500
No: 28, Time: 137.5336s, Source: 192.168.1.1, Destination: 192.168.1.12, Protocol: TCP, Length: 1500, Info: 8080 → 443 [SYN, ACK] Seq=1 Ack=1 Win=64240 Len=1500
No: 29, Time: 137.5387s, Source: 192.168.1.1, Destination: 192.168.1.11, Protocol: TCP, Length: 1500, Info: 8080 → 443 [SYN, ACK] Seq=1 Ack=1 Win=64240 Len=1500
No: 30, Time: 142.1902s, Source: 192.168.1.1, Destination: 192.168.1.13, Protocol: TCP, Length: 1500, Info: 8080 → 443 [SYN, ACK] Seq=1 Ack=1 Win=64240 Len=1500
No: 31, Time: 142.1959s, Source: 192.168.1.1, Destination: 192.168.1.12, Protocol: TCP, Length: 1500, Info: 8080 → 443 [SYN, ACK] Seq=1 Ack=1 Win=64240 Len=1500
No: 32, Time: 142.2000s, Source: 192.168.1.1, Destination: 192.168.1.11, Protocol: TCP, Length: 1500, Info: 8080 → 443 [SYN, ACK] Seq=1 Ack=1 Win=64240 Len=1500
